Model,Accuracy,AUC,Precision,Recall,F1,MCC
logistic,0.9385964912280702,0.9231903046184081,0.9736842105263158,0.8604651162790697,0.9135802469135802,0.8702229102521248
decision_tree,0.9298245614035088,0.9253193580085161,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.8506387160170324
knn,0.7543859649122807,0.7111038322961022,0.7419354838709677,0.5348837209302325,0.6216216216216216,0.4599065788554503
naive_bayes,0.6140350877192983,0.49295774647887325,0.0,0.0,0.0,-0.07320922875820239
random_forest,0.9649122807017544,0.9580740255486406,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9252853920667758
xgboost,0.956140350877193,0.9510317720275139,0.9523809523809523,0.9302325581395349,0.9411764705882353,0.9063785942932301
